date,ticker,Gross Profit,Cost Of Revenue,Total Revenue
2023-12-31,001060,94226528990.0,110791508360.0,205018037350.0
2023-09-30,001060,81972107530.0,102230692350.0,184202799880.0
2023-06-30,001060,83593542660.0,102329029170.0,185922571830.0
2023-03-31,001060,75750216880.0,97633081870.0,173383298750.0
2022-12-31,001060,88795928420.0,104363102360.0,193159030780.0
2023-12-31,001067,94226528990.0,110791508360.0,205018037350.0
2023-09-30,001067,81972107530.0,102230692350.0,184202799880.0
2023-06-30,001067,83593542660.0,102329029170.0,185922571830.0
2023-03-31,001067,75750216880.0,97633081870.0,173383298750.0
2022-12-31,001067,88795928420.0,104363102360.0,193159030780.0
2023-12-31,001065,94226528990.0,110791508360.0,205018037350.0
2023-09-30,001065,81972107530.0,102230692350.0,184202799880.0
2023-06-30,001065,83593542660.0,102329029170.0,185922571830.0
2023-03-31,001065,75750216880.0,97633081870.0,173383298750.0
2022-12-31,001065,88795928420.0,104363102360.0,193159030780.0
2023-09-30,096760,103197510930.0,113304349850.0,216501860780.0
2023-06-30,096760,112670815780.0,120981391640.0,233652207420.0
2023-03-31,096760,103722207000.0,112672107530.0,216394314530.0
2022-12-31,096760,120002863660.0,120903538080.0,240906401740.0
2023-04-30,432320,15882849550.0,15882849550.0
2022-12-31,432320,11690728010.0,11690728010.0
2023-09-30,002380,329684187760.0,1223040349490.0,1552724537250.0
2023-06-30,002380,346472658900.0,1241872175280.0,1588344834180.0
2023-03-31,002380,313399436610.0,1251543338760.0,1564942775370.0
2022-12-31,002380,327877143740.0,1313330412040.0,1641207555780.0
2023-12-31,344820,73082012770.0,365460672500.0,438542685270.0
2023-09-30,344820,70415667910.0,354686947900.0,425102615810.0
2023-06-30,344820,78168535730.0,359577449960.0,437745985690.0
2023-03-31,344820,60313105350.0,318351254470.0,378664359820.0
2022-12-31,344820,71730062560.0,356922620200.0,428652682760.0
2023-12-31,009070,23252641000.0,180769805970.0,204022446970.0
2023-09-30,009070,26826523870.0,183990713130.0,210817237000.0
2023-06-30,009070,25245938970.0,176353078220.0,201599017190.0
2023-03-31,009070,25899639630.0,180787088890.0,206686728520.0
2022-12-31,009070,20932700840.0,212383375760.0,233316076600.0
2023-09-30,009440,21829890440.0,157684942190.0,179514832630.0
2023-06-30,009440,20341265500.0,187055371980.0,207396637480.0
2023-03-31,009440,19974753650.0,174483530180.0,194458283830.0
2022-12-31,009440,41892042800.0,195856967950.0,237749010750.0
2023-09-30,119650,10822273020.0,90091868450.0,100914141470.0
2023-06-30,119650,4569371150.0,111640553720.0,116209924870.0
