date,ticker,Gross Profit,Cost Of Revenue,Total Revenue
2022-12-31,001067,287954537740.0,396396561500.0,684351099240.0
2021-12-31,001067,234376333340.0,372208611430.0,606584944770.0
2020-12-31,001067,177525624140.0,369810083660.0,547335707800.0
2023-12-31,001065,335542396070.0,412984311740.0,748526707810.0
2022-12-31,001065,287954537740.0,396396561500.0,684351099240.0
2021-12-31,001065,234376333340.0,372208611430.0,606584944770.0
2020-12-31,001065,177525624140.0,369810083660.0,547335707800.0
2022-12-31,096760,399958810700.0,464577620020.0,864536430720.0
2021-12-31,096760,344178634430.0,444758346460.0,788936980890.0
2020-12-31,096760,307277955750.0,474236884270.0,781514840020.0
2023-07-31,432320,28576063870.0,28576063870.0
2023-01-31,432320,32462550580.0,32462550580.0
2022-06-30,432320,,
2022-12-31,002380,1484908757120.0,5289884894100.0,6774793651220.0
2021-12-31,002380,1326564422000.0,4548334870330.0,5874899292330.0
2020-12-31,002380,1041844824830.0,4041786668160.0,5083631492990.0
2023-12-31,344820,281979321750.0,1398076324840.0,1680055646590.0
2022-12-31,344820,292999834280.0,1150680857550.0,1443680691830.0
2021-12-31,344820,296546591140.0,879113374030.0,1175659965170.0
2020-12-31,344820,126047326870.0,582610069550.0,708657396420.0
2023-12-31,009070,101224743470.0,721900686210.0,823125429680.0
2022-12-31,009070,100480266480.0,819928402250.0,920408668730.0
2021-12-31,009070,83293154550.0,611444744880.0,694737899430.0
2020-12-31,009070,68614521120.0,420119258480.0,488733779600.0
2022-12-31,009440,89181685000.0,622026576000.0,711208261000.0
2021-12-31,009440,90266283050.0,522410337950.0,612676621000.0
2020-12-31,009440,62692918840.0,617755263000.0,680448181840.0
2022-12-31,119650,30060460930.0,391523285930.0,421583746860.0
2021-12-31,119650,28817917990.0,326216851780.0,355034769770.0
2020-12-31,119650,-14921508780.0,342830217510.0,327908708730.0
2022-12-31,092220,50493500040.0,205677762550.0,256171262590.0
2021-12-31,092220,56489537230.0,210983053850.0,267472591080.0
2020-12-31,092220,25810127320.0,175236353550.0,201046480870.0
2022-12-31,003620,287062232560.0,3136278640730.0,3423340873290.0
2021-12-31,003620,57790262790.0,2371537438010.0,2429327700800.0
2020-12-31,003620,80057845600.0,2870122873530.0,2950180719130.0
2022-12-31,016380,445869911820.0,3373819116010.0,3819689027830.0
2021-12-31,016380,396766824390.0,2958022361940.0,3354789186330.0
2020-12-31,016380,209770782770.0,2132672808130.0,2342443590900.0
2022-12-31,001390,1088501806730.0,5518853282120.0,6607355088850.0
2021-12-31,001390,891365146340.0,3935253246710.0,4826618393050.0
2020-12-31,001390,667523724210.0,3018826627420.0,3686350351630.0
2022-12-31,033180,36264182720.0,128027645620.0,164291828340.0
2021-12-31,033180,34813467380.0,85378710540.0,120192177920.0
2020-12-31,033180,37156637510.0,81658863220.0,118815500730.0
2022-12-31,015590,16465657070.0,89208250260.0,105673907330.0
2021-12-31,015590,7644823250.0,73060403610.0,80705226860.0
2020-12-31,015590,18638013810.0,106306865910.0,124944879720.0
2022-12-31,001940,266030411810.0,1544583034230.0,1810613446040.0
2021-12-31,001940,266053720920.0,1314795618050.0,1580849338970.0
2020-12-31,001940,162154463450.0,902414984020.0,1064569447470.0
2023-12-31,025000,142251113890.0,768868521170.0,911119635060.0
2022-12-31,025000,145797263190.0,837782295470.0,983579558660.0
2021-12-31,025000,120647730640.0,900138370150.0,1020786100790.0
2020-12-31,025000,120795570130.0,625866753100.0,746662323230.0
2023-12-31,092230,185084639770.0,1021925519730.0,1207010159500.0
2022-12-31,092230,186113301180.0,1054334143530.0,1240447444710.0
2021-12-31,092230,156712132410.0,1081990097510.0,1238702229920.0
2020-12-31,092230,160666606410.0,792513012080.0,953179618490.0
2022-12-31,000040,17030523910.0,100028216600.0,117058740510.0
2021-12-31,000040,17682644780.0,115827793140.0,133510437920.0
2020-12-31,000040,19866253270.0,97968121790.0,117834375060.0
2022-12-31,044450,84852781160.0,360523008540.0,445375789700.0
2021-12-31,044450,72183732820.0,251817533990.0,324001266810.0
2020-12-31,044450,62188145440.0,163993021600.0,226181167040.0
2023-12-31,030200,,,
2022-12-31,030200,15899909000000.0,9738946000000.0,25638855000000.0
2021-12-31,030200,14859234000000.0,10038771000000.0,24898005000000.0
2020-12-31,030200,14311281000000.0,9788113000000.0,24099394000000.0
2023-12-31,033780,2808215000000.0,3054393000000.0,5862608000000.0
2022-12-31,033780,2960240000000.0,2891166000000.0,5851406000000.0
2021-12-31,033780,2878171877690.0,2350179718840.0,5228351596530.0
2020-12-31,033780,2928237188440.0,2127074299460.0,5055311487900.0
2023-12-31,058850,635196417160.0,635196417160.0
2022-12-31,058850,1029466970040.0,1029466970040.0
2021-12-31,058850,965721215190.0,965721215190.0
2020-12-31,058850,931703674260.0,931703674260.0
2023-12-31,058860,501308244720.0,91651426000.0,592959670720.0
2022-12-31,058860,460917082930.0,74866223000.0,535783305930.0
2021-12-31,058860,412373068980.0,55631195000.0,468004263980.0
2020-12-31,058860,410191579630.0,43447565000.0,453639144630.0
2022-12-31,093050,1170380796480.0,798159568150.0,1968540364630.0
2021-12-31,093050,1098094909230.0,695009070490.0,1793103979720.0
2020-12-31,093050,897123550850.0,713336421250.0,1610459972100.0
2022-12-31,003550,2332798000000.0,4853189000000.0,7185987000000.0
2021-12-31,003550,2793563000000.0,4065447000000.0,6859010000000.0
2020-12-31,003550,1896239000000.0,3302831000000.0,5199070000000.0
2022-12-31,034220,1124078000000.0,25027703000000.0,26151781000000.0
2021-12-31,034220,5305104000000.0,24572939000000.0,29878043000000.0
2020-12-31,034220,2635222000000.0,21626339000000.0,24261561000000.0
2023-12-31,051900,3626918288480.0,3177921081640.0,6804839370120.0
2022-12-31,051900,4017247091570.0,3168512092760.0,7185759184330.0
2021-12-31,051900,5051627742920.0,3039883555040.0,8091511297960.0
2020-12-31,051900,4881575503570.0,2962930553560.0,7844506057130.0
2023-12-31,051905,3626918288480.0,3177921081640.0,6804839370120.0
2022-12-31,051905,4017247091570.0,3168512092760.0,7185759184330.0
2021-12-31,051905,5051627742920.0,3039883555040.0,8091511297960.0
2020-12-31,051905,4881575503570.0,2962930553560.0,7844506057130.0
2023-12-31,373220,2406989000000.0,9881450000000.0,12288439000000.0
2022-12-31,373220,4290532000000.0,21308077000000.0,25598609000000.0
2021-12-31,373220,3898783000000.0,13953123000000.0,17851906000000.0
2020-12-31,373220,224048000000.0,1237020000000.0,1461068000000.0
2022-12-31,003555,2332798000000.0,4853189000000.0,7185987000000.0
2021-12-31,003555,2793563000000.0,4065447000000.0,6859010000000.0
2020-12-31,003555,1896239000000.0,3302831000000.0,5199070000000.0
2023-12-31,032640,11500351000000.0,2872275000000.0,14372626000000.0
2022-12-31,032640,11254775000000.0,2651215000000.0,13905990000000.0
2021-12-31,032640,10995729000000.0,2855406000000.0,13851135000000.0
2020-12-31,032640,10437221000000.0,2980406000000.0,13417627000000.0
2023-12-31,011070,1863315858350.0,18741974184020.0,20605290042370.0
2022-12-31,011070,2374398590820.0,17215010892560.0,19589409483380.0
2021-12-31,011070,2130537591510.0,12815071627540.0,14945609219050.0
2020-12-31,011070,1290340322590.0,8251449217960.0,9541789540550.0
2023-12-31,066570,19802655000000.0,64425110000000.0,84227765000000.0
2022-12-31,066570,20236230000000.0,63231088000000.0,83467318000000.0
2021-12-31,066570,18897222000000.0,55010762000000.0,73907984000000.0
2020-12-31,066570,15508721000000.0,42549187000000.0,58057908000000.0
2023-12-31,066575,19802655000000.0,64425110000000.0,84227765000000.0
2022-12-31,066575,20236230000000.0,63231088000000.0,83467318000000.0
2021-12-31,066575,18897222000000.0,55010762000000.0,73907984000000.0
2020-12-31,066575,15508721000000.0,42549187000000.0,58057908000000.0
2023-12-31,037560,1019536678840.0,170720770000.0,1190257448840.0
2022-12-31,037560,992422667990.0,175445330000.0,1167867997990.0
2021-12-31,037560,971711126920.0,108421154000.0,1080132280920.0
2020-12-31,037560,968489517630.0,89445178000.0,1057934695630.0
2023-12-31,051910,2693449000000.0,17253928000000.0,19947377000000.0
2022-12-31,051910,9986462000000.0,41878426000000.0,51864888000000.0
2021-12-31,051910,11214628000000.0,31384656000000.0,42599284000000.0
2020-12-31,051910,6317487000000.0,23741385000000.0,30058872000000.0
2023-12-31,051915,2693449000000.0,17253928000000.0,19947377000000.0
2022-12-31,051915,9986462000000.0,41878426000000.0,51864888000000.0
2021-12-31,051915,11214628000000.0,31384656000000.0,42599284000000.0
2020-12-31,051915,6317487000000.0,23741385000000.0,30058872000000.0
2022-12-31,079550,326542021840.0,1894209846590.0,2220751868430.0
2021-12-31,079550,231569889490.0,1590624425950.0,1822194315440.0
2020-12-31,079550,189680189470.0,1410664125550.0,1600344315020.0
2022-12-31,006260,1881714000000.0,15609624000000.0,17491338000000.0
2021-12-31,006260,1612395000000.0,11216879000000.0,12829274000000.0
2020-12-31,006260,1291399000000.0,9152917000000.0,10444316000000.0
2023-12-31,010120,773433562060.0,3457049066380.0,4230482628440.0
2022-12-31,010120,596855887130.0,2780214328700.0,3377070215830.0
2021-12-31,010120,487086631600.0,2181178348650.0,2668264980250.0
2020-12-31,010120,434139917090.0,1968532611330.0,2402672528420.0
2022-12-31,000680,117557051210.0,245353980380.0,362911031590.0
2021-12-31,000680,110533133280.0,279937430620.0,390470563900.0
2020-12-31,000680,84000968310.0,250863652350.0,334864620660.0
2022-12-31,229640,53319591480.0,765175136710.0,818494728190.0
2021-12-31,229640,61613381460.0,689003514080.0,750616895540.0
2020-12-31,229640,46917600270.0,532694701210.0,579612301480.0
2023-12-31,108320,533976838040.0,1367468136980.0,1901444975020.0
2022-12-31,108320,675673063560.0,1443672300050.0,2119345363610.0
2021-12-31,108320,658492457270.0,1240353258750.0,1898845716020.0
2020-12-31,108320,296026183280.0,865870102740.0,1161896286020.0
2023-12-31,001120,1375632791400.0,13138717077720.0,14514349869120.0
2022-12-31,001120,1835486671910.0,16924062732120.0,18759549404030.0
2021-12-31,001120,1351394112880.0,15335138520770.0,16686532633650.0
2020-12-31,001120,732376821570.0,10550255568000.0,11282632389570.0
2023-12-31,108670,840623000000.0,2685184000000.0,3525807000000.0
2022-12-31,108670,760098000000.0,2851053000000.0,3611151000000.0
2021-12-31,108670,832189000000.0,2627603000000.0,3459792000000.0
2020-12-31,108670,753207000000.0,2284830000000.0,3038037000000.0
2023-12-31,108675,840623000000.0,2685184000000.0,3525807000000.0
2022-12-31,108675,760098000000.0,2851053000000.0,3611151000000.0
2021-12-31,108675,832189000000.0,2627603000000.0,3459792000000.0
2020-12-31,108675,753207000000.0,2284830000000.0,3038037000000.0
2022-12-31,383800,198802000000.0,38116000000.0,236918000000.0
2021-12-31,383800,177404000000.0,8408000000.0,185812000000.0
2022-12-31,38380K,198802000000.0,38116000000.0,236918000000.0
2021-12-31,38380K,177404000000.0,8408000000.0,185812000000.0
2023-12-31,023150,40905431440.0,64578663870.0,105484095310.0
2022-12-31,023150,43260488270.0,67461913660.0,110722401930.0
2021-12-31,023150,43855662580.0,58211274360.0,102066936940.0
2020-12-31,023150,34821281290.0,59823957920.0,94645239210.0
2023-12-31,035420,9670643576580.0,9670643576580.0
2022-12-31,035420,8220078708810.0,8220078708810.0
2021-12-31,035420,6817599707250.0,6817599707250.0
2020-12-31,035420,5304145900390.0,5304145900390.0
2022-12-31,181710,2114869816080.0,2114869816080.0
2021-12-31,181710,1923677420330.0,1923677420330.0
2020-12-31,181710,1641243735620.0,1641243735620.0
2023-06-30,400760,22665674130.0,22665674130.0
2022-12-31,400760,21812261390.0,21812261390.0
2022-09-30,400760,18053698270.0,18053698270.0
2022-06-30,400760,16670748360.0,16670748360.0
2022-03-31,400760,16626834410.0,16626834410.0
2021-12-31,400760,16943224420.0,16943224420.0
2021-06-30,400760,16235684780.0,16235684780.0
2020-12-31,400760,12701526830.0,12701526830.0
2020-06-30,400760,10412257020.0,10412257020.0
2023-11-30,338100,14631179720.0,14631179720.0
2023-05-31,338100,2905982960.0,2905982960.0
2022-11-30,338100,7633137100.0,7633137100.0
2022-08-31,338100,2962876280.0,2962876280.0
2022-05-31,338100,2613216440.0,2613216440.0
2022-02-28,338100,2174626920.0,2174626920.0
2021-11-30,338100,4147810670.0,4147810670.0
2021-05-31,338100,2715396950.0,2715396950.0
2020-11-30,338100,2855122180.0,2855122180.0
2020-08-31,338100,2764444480.0,2764444480.0
2020-05-31,338100,2631735260.0,2631735260.0
2022-12-31,034310,2036972082160.0,715949997000.0,2752922079160.0
2021-12-31,034310,1835499600330.0,614366932000.0,2449866532330.0
2020-12-31,034310,1613727255810.0,441786842000.0,2055514097810.0
2022-12-31,030190,479868591380.0,479868591380.0
2021-12-31,030190,484797305610.0,484797305610.0
2020-12-31,030190,446005796020.0,446005796020.0
2023-12-31,008260,97312890770.0,285598248030.0,382911138800.0
2022-12-31,008260,89716689030.0,265673513110.0,355390202140.0
2021-12-31,008260,44839958920.0,203372790540.0,248212749460.0
2020-12-31,008260,32917821610.0,159654019390.0,192571841000.0
2022-12-31,004250,79396252840.0,465185222860.0,544581475700.0
2021-12-31,004250,75803367170.0,411098783800.0,486902150970.0
2020-12-31,004250,62573967330.0,368759400060.0,431333367390.0
2022-12-31,004255,79396252840.0,465185222860.0,544581475700.0
2021-12-31,004255,75803367170.0,411098783800.0,486902150970.0
2020-12-31,004255,62573967330.0,368759400060.0,431333367390.0
2023-12-31,456040,169507182000.0,1119318493000.0,1288825675000.0
2023-12-31,010060,710468568000.0,1939223325000.0,2649691893000.0
2022-12-31,010060,903812159000.0,1865117241000.0,2768929400000.0
2021-12-31,010060,906141073000.0,2337855679000.0,3243996752000.0
2020-12-31,010060,128521359000.0,1873995419000.0,2002516778000.0
2023-12-31,178920,25303966410.0,192335417310.0,217639383720.0
2022-12-31,178920,79563185040.0,196877245450.0,276440430490.0
2021-12-31,178920,104084785950.0,197783933530.0,301868719480.0
2020-12-31,178920,84687468220.0,177101311040.0,261788779260.0
2023-12-31,005490,,,
2022-12-31,005490,7682417000000.0,77321199000000.0,85003616000000.0
2021-12-31,005490,11854862000000.0,64154339000000.0,76009201000000.0
2020-12-31,005490,4668084000000.0,52798594000000.0,57466678000000.0
2022-12-31,010950,4154588000000.0,38291440000000.0,42446028000000.0
2021-12-31,010950,2768726000000.0,24695192000000.0,27463918000000.0
2020-12-31,010950,-536523000000.0,17366204000000.0,16829681000000.0
2022-12-31,010955,4154588000000.0,38291440000000.0,42446028000000.0
2021-12-31,010955,2768726000000.0,24695192000000.0,27463918000000.0
2020-12-31,010955,-536523000000.0,17366204000000.0,16829681000000.0
2022-12-31,034120,369438226270.0,804343354620.0,1173781580890.0
